author,article,date,word,view,comment,like,gain,include
AlexMan原创,你知道什么是男人三不娶吗？,2019.03.16 14:47,字数 2557,14135,62,137,0,"['婚姻家庭篇', '婚姻育儿', '如果我换一种身...', '其他', '头条女王']"
螳螂不捕婵,一篇文同时被20个专题收录，我却高兴不起来,2019.03.18 12:26,字数 647,1716,39,48,0,"['头条女王', '人生故事']"
羊粒粒老师,我是如何做到一天读一本书？,2019.03.14 12:12*,字数 2656,10378,74,436,1,"['读书', '想法', '成长励志', '散文', '学习', '学习方法', '读书笔记', '知识', '学习能力学习', '大学风云榜', '90后的成长故事', '干货私藏', '读书方法', '优秀文学殿堂']"
槽值,20年后《还珠》又上热搜，才发现晴儿是真正的宝藏女孩,2019.03.18 14:12*,字数 4645,4002,15,242,0,"['明月松间照，清...', '正生活', '个人成长', '校园•青春•情...', '它说', '优质好文']"
捡书先生说,“分手后，别互删”,2019.03.14 08:23*,字数 2080,10146,35,230,0,"['生活', '人生是一场修行', '每日美文', '感情', '每日简书钻榜单预测', '文艺青年集散地', '为心安而收', '头条女王', '深度美文']"
zw微风和煦,事实好像证明：逝去的人真的还是有灵魂存在的,2019.03.17 20:56,字数 1599,1574,24,50,0,"['情感世界  亲...', '成长励志', '感性', '口袋杂论', '竹桃苑', '阅读']"
高山流水_7fd7,意想不到的惊喜,2019.03.18 20:56,字数 629,947,20,70,0,"['人生感悟', '散文', '旅游随笔专栏', '摄影随笔专栏', '教师园地  孩子福地', '疗&愈：叙事或...', '向行知致敬']"
_飞鱼,我活了30年，从没生过气，得癌了。”,2019.03.18 10:22,字数 2166,5253,33,186,0,"['健康养生', '明月松间照，清...', '疗愈我们的心', '人生记录仪，充...', '精彩收藏']"
精读君,一个人逐渐变高级的3种迹象,2019.03.13 10:51,字数 2003,22237,42,925,0,"['想法', '成长励志', '随笔散文', '大学生活', '散文', '疗&愈：叙事或...', '不学有术者慎入', '成长之旅', '人生记录仪，充...', '自律', '今日处理', '深度学习', '赢家思维', '精品文集', '生活不易，更需努力', '做懂爱会生活的...', '大学那些事儿', '成长之路', '领悟人生', '精读', '哲思', '程序人生', '杂谈与心得', '我喜欢的', '人生的智慧']"
薛白袍,宋江如果不归顺朝庭，带领108将能否建立一个王朝,2019.03.18 16:06,字数 1326,1337,13,49,0,"['读书', '人物', '职场', '涅槃诗社']"
芝麻小小,抖音让我们堕落，但更可怕的是，“今日头条”让我们变傻,2019.03.16 22:21*,字数 4243,10692,59,345,4,"['深度', '日阅读记录', '知识见识', '健康美体密码']"
捡书先生说,贾乃亮首谈“离婚”：“感谢她放我一条生路”,2019.03.18 08:38,字数 1456,3595,16,157,0,"['寻梦者', '人在江湖']"
彤舟有爱,玉兰花香,2019.03.17 20:38*,字数 237,2238,62,94,0,"['一片真情', '散文', '浅秋文学', '拾梦园', '美丽文档', '花之梦', '梦想，在春天悄...', '花草撷英']"
Fountain小助理,FTN价格涨得让我心颤,2019.03.16 22:31*,字数 978,2932,20,112,0,"['集千万有趣灵魂', '简书，记录美好生活', '钻贝之思', '💎七彩简书钻', '读书品文']"
精读君,“95后女生，躺了5天差点猝死”：这些危险行为，你还要做多久？,2019.03.18 11:00,字数 2372,11068,55,359,0,"['成长励志', '想法', '大学生活', '随笔散文', '水晶书院•文思...', '健康养生', '佚名文斋', '演讲', '涅槃诗社', '哲思', '闲散世相', '教育与生活', '成功励志交际心...', '拾梦园', '我是意想不到的']"
梓菲栩,点赞，到底是为了什么？,2019.03.17 06:04,字数 472,1272,41,60,0,"['散文', '想法', '每天写1000字', '每天写500字', '心情随笔', '集千万有趣灵魂', '简书，记录美好生活', '钻贝之思', '水晶书院•文思...']"
Fountain小助理,FTN价格涨得让我心颤,2019.03.16 22:31*,字数 978,2932,20,112,0,"['集千万有趣灵魂', '简书，记录美好生活', '钻贝之思', '💎七彩简书钻', '读书品文']"
精读君,“95后女生，躺了5天差点猝死”：这些危险行为，你还要做多久？,2019.03.18 11:00,字数 2372,11068,55,359,0,"['成长励志', '想法', '大学生活', '随笔散文', '水晶书院•文思...', '健康养生', '佚名文斋', '演讲', '涅槃诗社', '哲思', '闲散世相', '教育与生活', '成功励志交际心...', '拾梦园', '我是意想不到的']"
梓菲栩,点赞，到底是为了什么？,2019.03.17 06:04,字数 472,1272,41,60,0,"['散文', '想法', '每天写1000字', '每天写500字', '心情随笔', '集千万有趣灵魂', '简书，记录美好生活', '钻贝之思', '水晶书院•文思...']"
槽值,Angelababy又赢了，抱歉我夸不出口,2019.03.15 14:08*,字数 2735,13756,34,399,0,"['■思■人物之所...', '它说', '优秀文学殿堂', '水晶书院•文思...', '爱我所爱']"
池上村,离婚，你们真的想好了吗?,2019.03.18 07:24,字数 1422,1055,38,70,0,"['婚姻家庭篇', '人生旅途', '把岁月酿成诗', '简书面面观', '摄影随笔专栏', '旅游随笔专栏', '婚姻育儿', '过期废柴·美文集', '东写西读', '诗歌•美文•艺...', '《人生感悟ABC》', '云梦阁', '❀⚘慧园书屋@...', '《优秀文章汇萃》', '诗情激荡，自由飞翔', '且行且思', '诗·烟雨梦', '谷穗文刊', '简题诗_诗歌©', '心灵之约', '透视经典', '巢湖文海', '简书：百家争鸣', '家有儿女', '乐山乐水', '古风“小酒吧”', '烟雨亭', '岁月古韵诗成行', '天涯简书共风流', '想法', '青春集结号']"
素描鱼儿,不会画， 怎么办，一起来看别人怎么画,2019.03.17 15:22,字数 998,2078,10,133,0,"['绘画', '爱生活爱画画', '绘画教程', '艺术', '艺海', '手绘', '手绘']"
李娥育儿说,这水果被国际公认为强致癌物，我国却还有6000万人无法自拔,2019.03.13 22:30,字数 4628,26500,81,290,1,"['琐事', '深度']"
AlexMan原创,你知道什么是男人三不娶吗？,2019.03.16 14:47,字数 2557,14139,62,137,0,"['婚姻家庭篇', '婚姻育儿', '如果我换一种身...', '其他', '头条女王']"
螳螂不捕婵,一篇文同时被20个专题收录，我却高兴不起来,2019.03.18 12:26,字数 647,1717,39,48,0,"['头条女王', '人生故事']"
羊粒粒老师,我是如何做到一天读一本书？,2019.03.14 12:12*,字数 2656,10378,74,436,1,"['读书', '想法', '成长励志', '散文', '学习', '学习方法', '读书笔记', '知识', '学习能力学习', '大学风云榜', '90后的成长故事', '干货私藏', '读书方法', '优秀文学殿堂']"
槽值,20年后《还珠》又上热搜，才发现晴儿是真正的宝藏女孩,2019.03.18 14:12*,字数 4645,4002,15,242,0,"['明月松间照，清...', '正生活', '个人成长', '校园•青春•情...', '它说', '优质好文']"
捡书先生说,“分手后，别互删”,2019.03.14 08:23*,字数 2080,10146,35,230,0,"['生活', '人生是一场修行', '每日美文', '感情', '每日简书钻榜单预测', '文艺青年集散地', '为心安而收', '头条女王', '深度美文']"
zw微风和煦,事实好像证明：逝去的人真的还是有灵魂存在的,2019.03.17 20:56,字数 1599,1574,24,50,0,"['情感世界  亲...', '成长励志', '感性', '口袋杂论', '竹桃苑', '阅读']"
高山流水_7fd7,意想不到的惊喜,2019.03.18 20:56,字数 629,947,20,70,0,"['人生感悟', '散文', '旅游随笔专栏', '摄影随笔专栏', '教师园地  孩子福地', '疗&愈：叙事或...', '向行知致敬']"
